/V1/PLUS X,/V1/PLUS Y,,,,
0,1.28E-11,,0,0.012804171,0
2.00E-11,2.06E-11,,0.02,0.020619495,0.009408
4.00E-11,2.78E-11,,0.04,0.027780007,0.017664
6.00E-11,3.40E-11,,0.06,0.034013122,0.024816
8.00E-11,3.93E-11,,0.08,0.039347815,0.030912
1.00E-10,4.38E-11,,0.1,0.043783989,0.036
1.20E-10,4.74E-11,,0.12,0.047386767,0.040128
1.40E-10,5.02E-11,,0.14,0.050196331,0.043344
1.60E-10,5.23E-11,,0.16,0.052255458,0.045696
1.80E-10,5.36E-11,,0.18,0.053607346,0.047232
2.00E-10,5.43E-11,,0.2,0.054295133,0.048
2.20E-10,5.44E-11,,0.22,0.054361759,0.048048
2.40E-10,5.38E-11,,0.24,0.053849974,0.047424
2.60E-10,5.28E-11,,0.26,0.052802363,0.046176
2.80E-10,5.13E-11,,0.28,0.051261387,0.044352
3.00E-10,4.93E-11,,0.3,0.049269398,0.042
3.20E-10,4.69E-11,,0.32,0.046868656,0.039168
3.40E-10,4.41E-11,,0.34,0.044101325,0.035904
3.60E-10,4.10E-11,,0.36,0.041009475,0.032256
3.80E-10,3.76E-11,,0.38,0.037635068,0.028272
4.00E-10,3.40E-11,,0.4,0.03401995,0.024
4.20E-10,3.02E-11,,0.42,0.030205844,0.019488
4.40E-10,2.62E-11,,0.44,0.026234329,0.014784
4.60E-10,2.21E-11,,0.46,0.022146837,0.009936
4.80E-10,1.80E-11,,0.48,0.017984631,0.004992
5.00E-10,1.38E-11,,0.5,0.013788805,2.50E-16
5.20E-10,9.60E-12,,0.52,0.009600261,-0.004992
5.40E-10,5.46E-12,,0.54,0.005459707,-0.009936
5.60E-10,1.41E-12,,0.56,0.001407642,-0.014784
5.80E-10,-2.52E-12,,0.58,-0.002515653,-0.019488
6.00E-10,-6.27E-12,,0.6,-0.006270122,-0.024
6.20E-10,-9.82E-12,,0.62,-0.009815944,-0.028272
6.40E-10,-1.31E-11,,0.64,-0.013113541,-0.032256
6.60E-10,-1.61E-11,,0.66,-0.016123585,-0.035904
6.80E-10,-1.88E-11,,0.68,-0.018807006,-0.039168
7.00E-10,-2.11E-11,,0.7,-0.021124994,-0.042
7.20E-10,-2.30E-11,,0.72,-0.023039012,-0.044352
7.40E-10,-2.45E-11,,0.74,-0.024510794,-0.046176
7.60E-10,-2.55E-11,,0.76,-0.025502355,-0.047424
7.80E-10,-2.60E-11,,0.78,-0.025975993,-0.048048
8.00E-10,-2.59E-11,,0.8,-0.025894292,-0.048
8.20E-10,-2.52E-11,,0.82,-0.025220128,-0.047232
8.40E-10,-2.39E-11,,0.84,-0.023916673,-0.045696
8.60E-10,-2.19E-11,,0.86,-0.021947392,-0.043344
8.80E-10,-1.93E-11,,0.88,-0.019276051,-0.040128
9.00E-10,-1.59E-11,,0.9,-0.015866718,-0.036
9.20E-10,-1.17E-11,,0.92,-0.011683762,-0.030912
9.40E-10,-6.69E-12,,0.94,-0.006691858,-0.024816
9.60E-10,-8.56E-13,,0.96,-0.000855984,-0.017664
9.80E-10,5.86E-12,,0.98,0.005858575,-0.009408
1.00E-09,1.35E-11,,1,0.013486227,0
